Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Word-CompressNone-ArrayList-100-rawIteration0	0.15	0.27	0.88	1.76	3.11	5.87	8.24	9.21		BTree-Word-CompressNone-ArrayList-100-rawIteration0	22.77	138.76	0.164	17127	0.073	0.891		BTree-Word-CompressNone-ArrayList-100-rawIteration0	0.94	1.37	1.76	2.13	2.55	2.97	3.27	3.6		BTree-Word-CompressNone-ArrayList-100-rawIteration0	1.85	3.31	4.87	6.31	7.72	9.56	10.96	12.52	1.60779811E8		BTree-Word-CompressNone-ArrayList-100-rawIteration0	0.42	0.75	1.1	1.47	1.84	2.31	2.83	3.36
BTree-Word-CompressNone-ArrayList-100-rawIteration1	0.11	0.22	0.83	1.81	3.26	5.72	7.32	8.55		BTree-Word-CompressNone-ArrayList-100-rawIteration1	22.77	138.76	0.164	17127	0.082	0.974		BTree-Word-CompressNone-ArrayList-100-rawIteration1	0.96	1.4	1.79	2.17	2.59	2.99	3.4	3.73		BTree-Word-CompressNone-ArrayList-100-rawIteration1	1.91	3.37	4.98	6.42	7.87	9.74	11.12	12.51	1.60779811E8		BTree-Word-CompressNone-ArrayList-100-rawIteration1	0.74	1.07	2.95	3.3	3.67	4.14	4.67	5.19
BTree-Word-CompressNone-ArrayList-100-rawIteration2	0.11	0.22	0.81	2.09	3.46	5.46	6.92	7.95		BTree-Word-CompressNone-ArrayList-100-rawIteration2	22.77	138.76	0.164	17127	0.088	0.99		BTree-Word-CompressNone-ArrayList-100-rawIteration2	0.99	1.43	1.83	2.22	2.62	3	3.37	3.74		BTree-Word-CompressNone-ArrayList-100-rawIteration2	1.86	3.33	5.01	6.43	7.85	9.79	11.18	12.57	1.60779811E8		BTree-Word-CompressNone-ArrayList-100-rawIteration2	0.39	0.73	1.1	1.45	1.82	2.29	2.79	3.34
BTree-Word-CompressNone-200-rawIteration0	0.11	0.21	0.52	1.09	1.96	3.13	3.94	4.63		BTree-Word-CompressNone-200-rawIteration0	17.59	129.83	0.135	8310	0.131	0.776		BTree-Word-CompressNone-200-rawIteration0	0.78	1.18	1.57	1.96	2.44	2.86	3.26	3.67		BTree-Word-CompressNone-200-rawIteration0	1.82	3.6	5.3	6.87	8.65	10.48	12.28	13.79	1.60779811E8		BTree-Word-CompressNone-200-rawIteration0	0.21	0.39	0.58	0.78	0.98	1.25	1.52	1.81
BTree-Word-CompressNone-200-rawIteration1	0.09	0.19	0.5	1.11	1.96	3.55	4.34	4.89		BTree-Word-CompressNone-200-rawIteration1	17.59	129.83	0.135	8310	0.125	0.758		BTree-Word-CompressNone-200-rawIteration1	1.05	1.45	1.84	2.23	2.67	3.08	3.49	3.83		BTree-Word-CompressNone-200-rawIteration1	1.82	3.35	5.01	6.58	8.49	10.37	12.19	13.75	1.60779811E8		BTree-Word-CompressNone-200-rawIteration1	0.21	0.41	0.61	0.83	1.04	1.32	1.61	1.9
BTree-Word-CompressNone-200-rawIteration2	0.1	0.2	0.55	1.09	2.16	3.88	4.69	5.32		BTree-Word-CompressNone-200-rawIteration2	17.59	129.83	0.135	8310	0.115	0.847		BTree-Word-CompressNone-200-rawIteration2	0.79	1.2	1.61	2.03	2.52	2.95	3.37	3.72		BTree-Word-CompressNone-200-rawIteration2	1.89	3.52	5.2	6.79	8.6	10.52	12.35	13.94	1.60779811E8		BTree-Word-CompressNone-200-rawIteration2	0.19	0.39	0.58	0.79	0.99	1.41	1.7	1.97
BTree-Rand-CompressSnappy-ArrayList-70-rawIteration0	0.26	0.56	0.89	1.22	10.21	28.29	57.5	96.27		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration0	16.9	99.1	0.17	20987	0.096	0.718		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration0	10.43	21.89	32.73	44.82	55.57	66.33	76.97	87.7		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration0	10.92	22.51	34.26	45.59	56.69	67.82	79.04	90.32	1569299		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration0	20.53	42.23	62.56	77.27	86.8	89.59	89.85	92.06
BTree-Rand-CompressSnappy-ArrayList-70-rawIteration1	0.2	0.48	0.79	1.11	7.73	29.52	59.04	95.74		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration1	16.9	99.13	0.17	20983	0.09	0.719		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration1	11.3	22.64	33.96	45.58	56.72	67.56	78.36	88.93		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration1	10.75	21.6	32.48	43.41	54.3	65.24	76.14	87.19	1568509		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration1	20.9	47.86	64.81	85.04	102.56	105.78	106.05	108.59
BTree-Rand-CompressSnappy-ArrayList-70-rawIteration2	0.19	0.46	0.75	1.06	7.28	25.44	54.67	92.45		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration2	16.9	99.21	0.17	20998	0.099	0.699		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration2	10.96	22.16	32.75	44.4	55.22	65.49	75.99	86.87		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration2	10.78	21.82	32.7	43.5	54.32	65.16	76.17	87.41	1569303		BTree-Rand-CompressSnappy-ArrayList-70-rawIteration2	21.16	41.77	68.58	84.47	95.55	98.58	98.89	99.46
BTree-Rand-CompressSnappy-150-rawIteration0	0.15	0.38	0.64	0.9	4.96	21.36	51.05	86.07		BTree-Rand-CompressSnappy-150-rawIteration0	11.66	93.11	0.125	9571	0.125	0.633		BTree-Rand-CompressSnappy-150-rawIteration0	11.44	23.78	36.03	48.17	60.62	72.83	85.11	97.47		BTree-Rand-CompressSnappy-150-rawIteration0	12.26	24.74	37.27	50.06	62.34	74.74	87.1	99.75	1569299		BTree-Rand-CompressSnappy-150-rawIteration0	22.29	45.14	64.06	76.75	83.84	84.21	84.36	84.69
