Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000	
SkipList-Seq-LinkedLinear-6000-rawIteration0	24.43	117.65	148.44	183.36	252.48	281.89	319.74	355.17		SkipList-Seq-LinkedLinear-6000-rawIteration0	5.08	128.08	0.04	174.0	0.001	0.0		SkipList-Seq-LinkedLinear-6000-rawIteration0	14.49	43.21	68.16	80.65	98.82	113.3	141.85	165.24		SkipList-Seq-LinkedLinear-6000-rawIteration0	24.44	49.52	74.01	98.82	123.66	148.34	172.79	197.47	8.0E7		SkipList-Seq-LinkedLinear-6000-rawIteration0	0.11	0.22	0.32	0.43	0.54	0.64	0.75	0.83	
SkipList-Seq-LinkedLinear-6000-rawIteration1	24.73	48.01	123.89	150.28	198.43	243.54	282.91	325.58		SkipList-Seq-LinkedLinear-6000-rawIteration1	5.07	128.07	0.04	162.0	0.001	0.0		SkipList-Seq-LinkedLinear-6000-rawIteration1	11.93	35.76	54.45	72.06	91.75	103.51	127.16	145.85		SkipList-Seq-LinkedLinear-6000-rawIteration1	22.76	46.25	69.82	93.27	116.8	140.04	163.61	187.12	8.0E7		SkipList-Seq-LinkedLinear-6000-rawIteration1	0.11	0.21	0.32	0.42	0.53	0.64	0.75	0.83	
SkipList-Seq-LinkedLinear-6000-rawIteration2	66.62	86.31	135.98	197.81	256.91	298.32	333.56	403.71		SkipList-Seq-LinkedLinear-6000-rawIteration2	5.06	128.07	0.04	142.0	0.001	0.0		SkipList-Seq-LinkedLinear-6000-rawIteration2	20.88	39.53	62.29	84.54	110.27	131.14	149.63	172.34		SkipList-Seq-LinkedLinear-6000-rawIteration2	26.83	54.16	81.85	108.59	135.57	163.24	190.14	217.12	8.0E7		SkipList-Seq-LinkedLinear-6000-rawIteration2	0.12	0.21	0.32	0.42	0.53	0.63	0.75	0.82	
SkipList-Seq-LinkedLinear-12000-rawIteration0	57.06	260.92	324.37	534.49	622.84	679.68	756.52	828.87		SkipList-Seq-LinkedLinear-12000-rawIteration0	5.04	128.04	0.039	91.0	0.001	0.0		SkipList-Seq-LinkedLinear-12000-rawIteration0	22.3	80.2	146.04	171.65	205.34	227.49	286.02	349.81		SkipList-Seq-LinkedLinear-12000-rawIteration0	45.55	93.33	139.66	186.26	232.56	279.02	325.59	371.69	8.0E7		SkipList-Seq-LinkedLinear-12000-rawIteration0	0.11	0.23	0.32	0.42	0.53	0.63	0.73	0.82	
SkipList-Seq-LinkedLinear-12000-rawIteration1	46.2	93.21	152.29	195.18	363.41	431.26	542.76	780.22		SkipList-Seq-LinkedLinear-12000-rawIteration1	5.03	128.04	0.039	80.0	0.001	0.0		SkipList-Seq-LinkedLinear-12000-rawIteration1	19.96	43.2	87.95	120.74	194.86	215.2	238.41	284.41		SkipList-Seq-LinkedLinear-12000-rawIteration1	43.45	87.79	132.09	175.79	219.99	263.89	308.55	352.88	8.0E7		SkipList-Seq-LinkedLinear-12000-rawIteration1	0.11	0.22	0.32	0.43	0.54	0.66	0.76	0.84	
SkipList-Seq-LinkedLinear-12000-rawIteration2	66.07	125.07	195.7	267.07	389.46	460.15	540.91	609.28		SkipList-Seq-LinkedLinear-12000-rawIteration2	5.04	128.04	0.039	93.0	0.001	0.0		SkipList-Seq-LinkedLinear-12000-rawIteration2	30.3	59.69	101.11	134.27	162.91	192.59	221.69	262.87		SkipList-Seq-LinkedLinear-12000-rawIteration2	37.07	74.58	112.21	149.25	186.51	224.2	261.93	299.36	8.0E7		SkipList-Seq-LinkedLinear-12000-rawIteration2	0.11	0.22	0.33	0.43	0.54	0.65	0.75	0.83	
SkipList-Word-ArrayList-25-rawIteration0	0.26	0.51	0.76	2.73	8.94	13.86	17.42	24.3		SkipList-Word-ArrayList-25-rawIteration0	25.75	115.84	0.222	41320.0	0.106	1.04		SkipList-Word-ArrayList-25-rawIteration0	1.66	2.29	2.87	3.31	3.76	4.14	4.55	4.92		SkipList-Word-ArrayList-25-rawIteration0	2.7	4.53	6.42	8.23	10.09	12.27	14.16	16.0	1.60779811E8		SkipList-Word-ArrayList-25-rawIteration0	1.17	2.35	4.37	5.48	6.67	7.79	9.23	10.96	
SkipList-Word-ArrayList-25-rawIteration1	0.24	0.46	0.74	2.69	7.49	11.77	16.07	17.92		SkipList-Word-ArrayList-25-rawIteration1	25.99	116.07	0.224	41833.0	0.134	0.905		SkipList-Word-ArrayList-25-rawIteration1	1.34	1.98	2.58	3.13	3.62	3.98	4.35	4.73		SkipList-Word-ArrayList-25-rawIteration1	2.76	4.71	6.54	8.35	10.23	12.37	14.25	15.99	1.60779811E8		SkipList-Word-ArrayList-25-rawIteration1	1.15	3.23	4.44	5.64	7.69	8.66	10.12	11.09	
SkipList-Word-ArrayList-25-rawIteration2	0.21	0.43	0.66	2.54	8.47	12.17	16.65	18.43		SkipList-Word-ArrayList-25-rawIteration2	25.89	115.8	0.224	41618.0	0.133	0.882		SkipList-Word-ArrayList-25-rawIteration2	1.32	1.92	2.48	2.99	3.52	3.9	4.26	4.64		SkipList-Word-ArrayList-25-rawIteration2	2.67	4.63	6.44	8.23	10.08	12.23	14.11	15.84	1.60779811E8		SkipList-Word-ArrayList-25-rawIteration2	2.36	3.55	4.74	6.04	8.5	10.36	11.28	13.2	
SkipList-Word-ArrayList-50-rawIteration0	0.17	0.38	0.59	1.61	4.76	7.64	9.55	11.5		SkipList-Word-ArrayList-50-rawIteration0	15.97	104.57	0.153	20357.0	0.149	0.794		SkipList-Word-ArrayList-50-rawIteration0	1.03	1.52	2.0	2.44	2.94	3.45	3.84	4.25		SkipList-Word-ArrayList-50-rawIteration0	1.91	3.46	5.1	6.55	8.03	9.81	11.26	12.73	1.60779811E8		SkipList-Word-ArrayList-50-rawIteration0	0.7	2.09	2.76	3.39	4.06	4.96	5.54	6.19	
SkipList-Word-ArrayList-50-rawIteration1	0.16	0.33	0.52	0.97	4.74	6.99	10.28	11.37		SkipList-Word-ArrayList-50-rawIteration1	15.81	103.92	0.152	20007.0	0.144	0.748		SkipList-Word-ArrayList-50-rawIteration1	1.07	1.55	2.01	2.46	2.97	3.45	3.84	4.23		SkipList-Word-ArrayList-50-rawIteration1	1.87	3.38	5.0	6.42	7.86	9.61	11.03	12.44	1.60779811E8		SkipList-Word-ArrayList-50-rawIteration1	0.67	1.3	1.99	2.65	3.35	3.91	4.53	5.75	
SkipList-Word-ArrayList-50-rawIteration2	0.19	0.38	0.56	1.47	4.5	6.78	9.45	10.55		SkipList-Word-ArrayList-50-rawIteration2	16.09	104.68	0.154	20600.0	0.158	0.731		SkipList-Word-ArrayList-50-rawIteration2	1.03	1.5	1.96	2.4	2.9	3.39	3.77	4.17		SkipList-Word-ArrayList-50-rawIteration2	1.86	3.36	4.97	6.39	7.83	9.56	10.97	12.38	1.60779811E8		SkipList-Word-ArrayList-50-rawIteration2	0.68	1.34	2.01	2.67	3.32	3.92	4.46	5.04	
SkipList-Word-ArrayList-100-rawIteration0	0.15	0.29	0.46	0.67	2.51	4.25	5.96	7.02		SkipList-Word-ArrayList-100-rawIteration0	11.15	98.56	0.113	10210.0	0.199	0.607		SkipList-Word-ArrayList-100-rawIteration0	0.93	1.43	1.96	2.48	3.13	3.63	4.09	4.56		SkipList-Word-ArrayList-100-rawIteration0	1.73	3.18	4.8	6.26	7.72	9.52	10.97	12.38	1.60779811E8		SkipList-Word-ArrayList-100-rawIteration0	0.41	0.83	1.25	1.64	2.05	2.38	2.69	3.0	
SkipList-Word-ArrayList-100-rawIteration1	0.15	0.3	0.47	0.94	2.64	4.36	6.2	7.76		SkipList-Word-ArrayList-100-rawIteration1	11.06	98.38	0.112	10024.0	0.19	0.604		SkipList-Word-ArrayList-100-rawIteration1	0.93	1.45	1.97	2.5	3.11	3.61	4.06	4.54		SkipList-Word-ArrayList-100-rawIteration1	1.8	3.36	4.94	6.71	8.19	10.01	11.48	13.1	1.60779811E8		SkipList-Word-ArrayList-100-rawIteration1	0.41	0.82	1.23	1.64	2.06	2.41	2.75	3.11	
SkipList-Word-ArrayList-100-rawIteration2	0.16	0.34	0.51	0.76	2.56	4.61	5.83	6.67		SkipList-Word-ArrayList-100-rawIteration2	11.01	97.88	0.113	9922.0	0.186	0.582		SkipList-Word-ArrayList-100-rawIteration2	0.98	1.51	2.04	2.58	3.21	3.73	4.2	4.69		SkipList-Word-ArrayList-100-rawIteration2	1.76	3.26	4.85	6.34	7.81	9.63	11.1	12.74	1.60779811E8		SkipList-Word-ArrayList-100-rawIteration2	0.41	0.83	1.25	1.65	2.07	2.43	2.75	3.72	
SkipList-Word-Treap-25-rawIteration0	0.24	0.49	1.5	4.23	10.52	13.9	18.93	22.5		SkipList-Word-Treap-25-rawIteration0	22.4	168.52	0.133	41689.0	0.11	0.75		SkipList-Word-Treap-25-rawIteration0	1.27	1.92	2.58	3.24	3.94	4.55	5.14	5.75		SkipList-Word-Treap-25-rawIteration0	4.66	8.04	11.91	15.93	19.85	24.53	28.43	32.05	1.60779811E8		SkipList-Word-Treap-25-rawIteration0	1.28	6.06	7.32	9.79	11.26	12.65	15.12	16.19	
SkipList-Word-Treap-25-rawIteration1	0.24	0.67	2.1	4.03	10.12	16.38	22.49	24.76		SkipList-Word-Treap-25-rawIteration1	22.42	168.65	0.133	41744.0	0.1	0.999		SkipList-Word-Treap-25-rawIteration1	1.29	1.93	2.59	3.2	3.94	4.53	5.09	5.69		SkipList-Word-Treap-25-rawIteration1	4.69	8.11	12.03	16.06	20.03	24.84	28.59	32.42	1.60779811E8		SkipList-Word-Treap-25-rawIteration1	1.33	2.62	9.47	11.17	12.68	16.95	17.92	18.97	
