Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Seq-LinkedLinear-15000-rawIteration0	26.14	54.21	83.5	112.19	141.54	170.41	199.52	228.67		BTree-Seq-LinkedLinear-15000-rawIteration0	5.07	128.07	0.04	134	0.002	0		BTree-Seq-LinkedLinear-15000-rawIteration0	8.81	17.81	26.97	36.03	45.4	54.41	63.4	72.6		BTree-Seq-LinkedLinear-15000-rawIteration0	10.6	21.15	32.33	42.72	53.64	64.36	74.85	85.7	8.0E7		BTree-Seq-LinkedLinear-15000-rawIteration0	0.07	0.15	0.22	0.29	0.36	0.43	0.49	0.53
BTree-Seq-LinkedLinear-15000-rawIteration1	24.86	52.52	81.05	108.79	137.69	166.57	196.02	224.65		BTree-Seq-LinkedLinear-15000-rawIteration1	5.07	128.07	0.04	134	0.002	0		BTree-Seq-LinkedLinear-15000-rawIteration1	8.83	17.81	26.92	36.23	45.76	54.59	63.58	72.7		BTree-Seq-LinkedLinear-15000-rawIteration1	11.04	22.11	32.71	43.16	53.85	64.58	75.3	86.15	8.0E7		BTree-Seq-LinkedLinear-15000-rawIteration1	0.07	0.15	0.22	0.29	0.36	0.43	0.49	0.53
BTree-Seq-LinkedLinear-15000-rawIteration2	26.27	54.48	82.66	110.39	139.08	167.73	196.84	225.99		BTree-Seq-LinkedLinear-15000-rawIteration2	5.07	128.07	0.04	134	0.002	0		BTree-Seq-LinkedLinear-15000-rawIteration2	8.92	17.9	27.06	36.17	45.62	54.7	63.65	72.77		BTree-Seq-LinkedLinear-15000-rawIteration2	10.27	21.11	32.46	43.16	53.9	64.68	75.44	86.47	8.0E7		BTree-Seq-LinkedLinear-15000-rawIteration2	0.08	0.16	0.22	0.29	0.36	0.44	0.49	0.53
BTree-Seq-LinkedLinear-25000-rawIteration0	53.61	110.63	166.12	220.61	274.7	329.17	384.17	440.74		BTree-Seq-LinkedLinear-25000-rawIteration0	5.03	128.04	0.039	80	0.001	0		BTree-Seq-LinkedLinear-25000-rawIteration0	14.46	28.97	43.6	58.39	75.86	90.29	104.75	119.66		BTree-Seq-LinkedLinear-25000-rawIteration0	13.83	28.04	42.83	56.94	71.28	85.99	100.12	114.47	8.0E7		BTree-Seq-LinkedLinear-25000-rawIteration0	0.07	0.14	0.21	0.28	0.35	0.43	0.48	0.52
BTree-Seq-LinkedLinear-25000-rawIteration1	48.41	107.16	161.53	216.86	270.11	327.81	381.95	438.65		BTree-Seq-LinkedLinear-25000-rawIteration1	5.03	128.04	0.039	80	0.001	0		BTree-Seq-LinkedLinear-25000-rawIteration1	14.55	29.05	43.58	58.16	75.43	89.92	104.49	119.05		BTree-Seq-LinkedLinear-25000-rawIteration1	13.92	28.08	43.02	57.17	71.54	85.97	100.18	115.71	8.0E7		BTree-Seq-LinkedLinear-25000-rawIteration1	0.07	0.14	0.22	0.29	0.37	0.46	0.52	0.57
BTree-Seq-LinkedLinear-25000-rawIteration2	53.67	109.33	162.44	215.27	271.75	325.26	379.94	436.11		BTree-Seq-LinkedLinear-25000-rawIteration2	5.03	128.04	0.039	80	0.001	0		BTree-Seq-LinkedLinear-25000-rawIteration2	14.56	29.04	43.98	58.6	75.92	90.32	104.84	119.39		BTree-Seq-LinkedLinear-25000-rawIteration2	14.2	28.39	43.57	58.65	72.99	87.61	101.75	116.09	8.0E7		BTree-Seq-LinkedLinear-25000-rawIteration2	0.07	0.14	0.21	0.28	0.35	0.42	0.48	0.52
BTree-Word-ArrayList-100-rawIteration0	0.18	0.32	1.27	2.47	4.4	6.96	9.82	10.92		BTree-Word-ArrayList-100-rawIteration0	14.38	97.01	0.148	17127	0.163	0.746		BTree-Word-ArrayList-100-rawIteration0	1.01	1.5	1.9	2.27	2.78	3.16	3.55	3.86		BTree-Word-ArrayList-100-rawIteration0	1.31	2.39	3.49	4.59	5.68	7.02	7.98	8.96	1.60779811E8		BTree-Word-ArrayList-100-rawIteration0	0.44	0.78	1.15	1.52	1.88	2.37	2.87	3.54
BTree-Word-ArrayList-100-rawIteration1	0.14	0.25	0.89	1.85	4.06	5.74	8.12	10.36		BTree-Word-ArrayList-100-rawIteration1	14.38	97.01	0.148	17127	0.142	0.811		BTree-Word-ArrayList-100-rawIteration1	1.02	1.45	1.84	2.2	2.63	3	3.39	3.8		BTree-Word-ArrayList-100-rawIteration1	1.36	2.42	3.56	4.67	5.77	6.94	7.95	8.9	1.60779811E8		BTree-Word-ArrayList-100-rawIteration1	0.67	1.01	1.38	1.75	2.14	2.62	3.15	5.32
BTree-Word-ArrayList-100-rawIteration2	0.11	0.22	0.99	2.03	3.55	5.98	8.03	9.29		BTree-Word-ArrayList-100-rawIteration2	14.38	97.01	0.148	17127	0.163	1.046		BTree-Word-ArrayList-100-rawIteration2	0.97	1.42	1.82	2.2	2.6	2.99	3.36	3.79		BTree-Word-ArrayList-100-rawIteration2	1.28	2.4	3.52	4.63	5.76	6.99	7.95	8.92	1.60779811E8		BTree-Word-ArrayList-100-rawIteration2	0.34	0.67	1.06	1.43	1.82	2.31	2.81	3.42
BTree-Word-ArrayList-200-rawIteration0	0.09	0.2	0.54	1.09	3.22	4.53	5.42	6.03		BTree-Word-ArrayList-200-rawIteration0	10.23	92.71	0.11	8310	0.196	0.666		BTree-Word-ArrayList-200-rawIteration0	0.86	1.26	1.66	2.04	2.5	2.93	3.33	3.75		BTree-Word-ArrayList-200-rawIteration0	1.19	2.19	3.23	4.28	5.32	6.54	7.48	8.42	1.60779811E8		BTree-Word-ArrayList-200-rawIteration0	0.2	0.39	0.59	0.82	1.03	1.3	1.57	1.84
